ID,Scope,Level 1,Level 2,Level 3,Level 4,Column Text,UOM,GHG/Unit,GHG Conversion Factor 2024
20_504_5375_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Composting,tonnes,kg CO2e,
20_504_5376_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Landfill,tonnes,kg CO2e,8.88386
20_504_5377_15_1,Scope 3,Waste disposal,Metal,Metal: steel cans,,Anaerobic digestion,tonnes,kg CO2e,
20_505_5378_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Re-use,tonnes,kg CO2e,
20_505_5379_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Open-loop,tonnes,kg CO2e,6.41061
20_505_5380_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Closed-loop,tonnes,kg CO2e,6.41061
20_505_5381_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Combustion,tonnes,kg CO2e,6.41061
20_505_5382_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Composting,tonnes,kg CO2e,
20_505_5383_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Landfill,tonnes,kg CO2e,8.88386
20_505_5384_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastics,,Anaerobic digestion,tonnes,kg CO2e,
20_505_5385_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Re-use,tonnes,kg CO2e,
20_505_5386_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Open-loop,tonnes,kg CO2e,6.41061
20_505_5387_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Closed-loop,tonnes,kg CO2e,6.41061
20_505_5388_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Combustion,tonnes,kg CO2e,6.41061
20_505_5389_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Composting,tonnes,kg CO2e,
20_505_5390_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Landfill,tonnes,kg CO2e,8.88386
20_505_5391_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic film,,Anaerobic digestion,tonnes,kg CO2e,
20_505_5392_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Re-use,tonnes,kg CO2e,
20_505_5393_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Open-loop,tonnes,kg CO2e,6.41061
20_505_5394_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Closed-loop,tonnes,kg CO2e,6.41061
20_505_5395_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Combustion,tonnes,kg CO2e,6.41061
20_505_5396_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Composting,tonnes,kg CO2e,
20_505_5397_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Landfill,tonnes,kg CO2e,8.88386
20_505_5398_15_1,Scope 3,Waste disposal,Plastic,Plastics: average plastic rigid,,Anaerobic digestion,tonnes,kg CO2e,
20_505_5399_15_1,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),,Re-use,tonnes,kg CO2e,
20_505_5400_15_1,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),,Open-loop,tonnes,kg CO2e,6.41061
20_505_5401_15_1,Scope 3,Waste disposal,Plastic,Plastics: HDPE (incl. forming),,Closed-loop,tonnes,kg CO2e,6.41061
